Título,Precio,URL,URL Imagen
Pulsera Inteligente Xiaomi Mi Band 9 Version Global,223.400,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=P4tOYota75j5TZzQYdKcFnLLinWtu1BDACYNOwtfSshC5U1PiQz6%2FG%2BR2e%2BfAxmyhJOfLSFMctVaEqKH5IrBJhKqC0QnWyCafEUWsyn%2BRiRCiD0BOCIx2O9O%2BbUeLo0Vg8frOndvL2WbRD9Vb3DG5J5Nuxit1lOVNmm%2FnGtA1xG5dMai2rUagfj1NNlzVat8eTb0TQwhCWkY7xyvcnbx9fpME2ZrmpCd4CrrIoR1gOmF2Q5Kh0hS61AR%2FSPFaiCS8JSH48enirk2UW%2B60DTOgdQwhIuavMnGg87PiTDJT1QOrWQ%2BtPyuQp%2BGZosYJ%2Brg1F49fEuu%2FLzwIuwqp7uGiyFEHrA%2BupXsKE0VNv8dEqPX947Qg%2FGXwE7PaKBZF9XN3ZNfusbXZQAv9TzOohsbeeLkOrQ%2FJVo8Z8tcOKLAdMI%2BCE1mp1MVTsdrDWCuRST0oBUQ3ZXtG%2B%2B7jGwQHRjsXrbD4i5nGl7%2BzXXI90GyYaxamgtsV1zGnFkdlsVOYxTpazd%2BhK6YkJhi7YP9U6ShhoWHuJs38vU%2FhhD1rPdoR44TnziM%2BwSy5cuPV%2BdCJcIhrwayMVJHD10bVEYNe%2Fv3SMlCRLLd9D2bReway6qs0RWNHTeRORBju0RVj3FaxRdny2JCnZFbNdnLo4iEd5mvi23R%2F2TySZy5pmnue2J0TPrVzDuGTWwZnOZwFY83eDMPw9auxuwk%2BAy%2B7yexnO4b7%2FdwqvNaQYM03qmQkx%2Fo4HtnXunUhhpvQySoQmVuqyGN1NVj2X6BK%2BGSbpLOkNGIjQ%3D%3D&rb=x#polycard_client=search-nordic&tracking_id=201cef38-927b-4d47-b818-96c4a90774db,https://http2.mlstatic.com/D_Q_NP_2X_939809-MCO78396461108_082024-V.webp
Reloj Inteligente Ip67 Impermeable Con Linterna,223.000,https://click1.mercadolibre.com.co/mclics/clicks/external/MCO/count?a=SUvDdZUY4C9%2FgAzTrXqRnpOhizpAb9xh3iqV9SFT%2F1SDtgLFSFgJzrr%2FX9%2Bwh94PIEIaO1Rv5ime2gzXyxKKF1rZGBQDE5H2qHYUmigWM3rMwth%2BLuTDc3ZcW%2FdHJ9vgRl0cbry0I0tlZqQWCsm%2F2gxJ13vWo8LPlXeWaIGGhZnGDi4S06StptlTWu98NJC%2FHQHa9NWtK8FDyVz0a1ig8EqCLbJXLmI2Q7fQeu9Fdn5aHlxXpvf7OxZwLRJ%2BdkQ71VRG6ZaD9cPGDNQOG%2F%2BZbqBEaJFmVpM2ESmQR31Jhh0LsqV08lJAzttxSq5v6tHJnZRD2sopor8JwUflrW%2F6iA1q%2FZjMjwaVoZbKK9xJy76HhIzGNfGGhdA7ARtnMXEvjkawLoJHwOPytGrlsyKhw7ksb1m8tatHwfZSwLuShXpwKM8o7iskEVoDUvyDyI%2FqjRTDGllKXwU0jjVLqy72mhkOxYy2ONWaWpAFL7tqhOAWvrGZACrORCxDFBQ8Ew9wgAUhYXP0FEV2weebeFYQZGIe7UnyDUgXSWRY8q2PE6dB%2F4jeGXf6HoSkBm86JCwRG2HXNsQOohgPwvLZfQgQu7TrhE20YZenebpqWhGVNjLWXsOpZQQC9vxgVBzBe4GPKv5kac6c2g1gqWSiwDNDNnIRDu5iPcmL%2FChX6%2FJjYztPDdkXRXbFMA6USwnR09xbS%2BDDNq%2BOnGuFUXLKfRyKNNeVeN6CAF8gYLrCdF0P4%2BZ1Eg63zlP51Iv9h2zgvEwzTF0Gi%2BvmJBzP6SA%3D&rb=x#polycard_client=search-nordic&tracking_id=201cef38-927b-4d47-b818-96c4a90774db,https://http2.mlstatic.com/D_Q_NP_2X_769603-MCO80422748989_112024-V.webp
Xiaomi Redmi Watch 5 Active Con Hyperos Bateria 18 Días Llamadas Ipx8 Negro,151.000,https://www.mercadolibre.com.co/xiaomi-redmi-watch-5-active-con-hyperos-bateria-18-dias-llamadas-ipx8-negro/p/MCO41019871#polycard_client=search-nordic&searchVariation=MCO41019871&position=4&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1498553799&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_681037-MLA79418002635_092024-V.webp
Xiaomi Redmi Watch 5 Active Con Hyperos Bateria 18 Días Llamadas Ipx8 Gary,154.076,https://www.mercadolibre.com.co/xiaomi-redmi-watch-5-active-con-hyperos-bateria-18-dias-llamadas-ipx8-gary/p/MCO41929097#polycard_client=search-nordic&searchVariation=MCO41929097&position=5&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2702640128&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_859143-MLA79711428636_102024-V.webp
"Samsung Galaxy Fit 3 Smartwatch Sport, Gris Oscuro, Pantalla AMOLED 1.6"", Resistencia Agua 50m",229.900,https://www.mercadolibre.com.co/samsung-galaxy-fit-3-smartwatch-sport-gris-oscuro-pantalla-amoled-16-resistencia-agua-50m/p/MCO33997738#polycard_client=search-nordic&searchVariation=MCO33997738&position=6&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2757592482&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_785685-MLU74524021860_022024-V.webp
Samsung Galaxy Fit 3 Silver,274.875,https://www.mercadolibre.com.co/samsung-galaxy-fit-3-silver/p/MCO33997621#polycard_client=search-nordic&searchVariation=MCO33997621&position=7&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2477400862&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_917358-MLU75401922096_042024-V.webp
"Genérica  t800 ultra Negro Smartwatch display de 1.99"" con correa de gel de sílica",32.900,https://www.mercadolibre.com.co/generica-t800-ultra-negro-smartwatch-display-de-199-con-correa-de-gel-de-silica/p/MCO26195994#polycard_client=search-nordic&searchVariation=MCO26195994&position=8&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1468787273&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_997762-MLU77886571096_082024-V.webp
Reloj Smartwatch Xiaomi Mi Band 8 Pro 1.74'' Malla Negro Caja Blanco Bisel Plateado oscuro Diseño de la malla Milanese,269.995,https://www.mercadolibre.com.co/reloj-smartwatch-xiaomi-mi-band-8-pro-174-malla-negro-caja-blanco-bisel-plateado-oscuro-diseno-de-la-malla-milanese/p/MCO32764169#polycard_client=search-nordic&searchVariation=MCO32764169&position=9&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1480431005&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_848179-MLU77441192156_072024-V.webp
Redmi Watch 4 Obsidian Black - Negro Version Global Bisel Gris oscuro,348.999,https://www.mercadolibre.com.co/redmi-watch-4-obsidian-black-negro-version-global-bisel-gris-oscuro/p/MCO30403717#polycard_client=search-nordic&searchVariation=MCO30403717&position=10&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1494242221&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_687896-MLA77120754437_062024-V.webp
 Samsung Galaxy Watch Watch 7 44mm Display De 1.47  Con Correa De Fkm - Color Khaki,1.127.242,https://www.mercadolibre.com.co/samsung-galaxy-watch-watch-7-44mm-display-de-147-con-correa-de-fkm-color-khaki/p/MCO38193383#polycard_client=search-nordic&searchVariation=MCO38193383&position=11&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1472366365&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_984648-MLU77647317865_072024-V.webp
Smart Watch Reloj Inteligente Z78 Ultra | Multi Funciones Color de la caja Plateado,119.900,https://www.mercadolibre.com.co/smart-watch-reloj-inteligente-z78-ultra-multi-funciones-color-de-la-caja-plateado/p/MCO28538830#polycard_client=search-nordic&searchVariation=MCO28538830&position=12&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1399262799&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_685455-MLU73075997008_112023-V.webp
Smartwatch Reloj Inteligente Deportivo Linkon Pro Llamadas,199.990,https://www.mercadolibre.com.co/smartwatch-reloj-inteligente-deportivo-linkon-pro-llamadas/p/MCO29222044#polycard_client=search-nordic&searchVariation=MCO29222044&position=13&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2111341030&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_658694-MLU78618765216_082024-V.webp
"Smart Watch T900 Promax L, Serie 8 2.0, Color Negro",49.900,https://www.mercadolibre.com.co/smart-watch-t900-promax-l-serie-8-20-color-negro/p/MCO28935125#polycard_client=search-nordic&searchVariation=MCO28935125&position=14&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2211889186&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_667805-MLU73333596112_122023-V.webp
"Smartband  Keluona ZL02 con correa de silicona - color negro
",84.645,https://www.mercadolibre.com.co/smartband-keluona-zl02-con-correa-de-silicona-color-negro/p/MCO19461243#polycard_client=search-nordic&searchVariation=MCO19461243&position=15&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO1359958601&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_746867-MLU78216553992_082024-V.webp
Pulsera inteligente Smart Band Xiaomi Mi Band 9 Version Global,164.679,https://www.mercadolibre.com.co/pulsera-inteligente-smart-band-xiaomi-mi-band-9-version-global/p/MCO39425855#polycard_client=search-nordic&searchVariation=MCO39425855&position=16&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2713011360&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_913865-MLU78327399902_082024-V.webp
"Reloj Smartwatch Xiaomi Redmi Watch 5 Lite 1,96  Amoled Bt Gps - Black",299.000,https://www.mercadolibre.com.co/reloj-smartwatch-xiaomi-redmi-watch-5-lite-196-amoled-bt-gps-black/p/MCO42520227#polycard_client=search-nordic&searchVariation=MCO42520227&position=17&search_layout=stack&type=product&tracking_id=201cef38-927b-4d47-b818-96c4a90774db&wid=MCO2751209766&sid=search,https://http2.mlstatic.com/D_Q_NP_2X_852209-MLA80100090514_102024-V.webp
